(KEYFUNCTION),(KEYPARAMINDEX),(CONVERTRULE),(ASSISTRULE),(COMBINERULE),(CONSTRUCTASSISTBEH),(CONSTRUCTBEHAVIOR),(TYPE)
GetSystemTimeAsFileTime,NULL,NULL,NULL,NULL,NULL,system_time_get,4
GetTimeZoneInfomation,NULL,NULL,NULL,NULL,NULL,timezone_info_get,4
GetUserName,NULL,NULL,NULL,NULL,NULL,user_name_get,4
GlobalMemoryStatus,NULL,NULL,NULL,NULL,NULL,globalmemorystatus_get,4
GlobalMemoryStatusEx,NULL,NULL,NULL,NULL,NULL,globalmemorystatus_get,4
InitiateSystemShutdownEx ,00|01|02|06||,06|retValueBOOL||,NULL,NULL,NULL,system_shutdown_init,4
IsDebuggerPresent,00||,00|BOOL||,NULL,NULL,NULL,debugger_present,4
LoadResource,00|02||,02|retValue||,00|Handle||,NULL,NULL,resource_load,4
lstrcmp,00|01|02||,NULL,NULL,NULL,NULL,strcmp,4
lstrcmpi,00|01|02||,NULL,NULL,NULL,NULL,strcmp,4
MessageBox,NULL,NULL,NULL,NULL,NULL,window_show,4
NetLocalGroupAddMembers,00|01||,NULL,NULL,NULL,NULL,group_user_add,4
NetUserAdd,00||,NULL,NULL,NULL,NULL,user_add,4
OpenDriver,00|03||,03|retValue||,NULL,NULL,NULL,driver_open,4
OpenEventLog,00|01|02||,NULL,NULL,00|01| |00||,02|00|Handle||,eventlog_open,4
PostMessage,01|04||,04|retValueBOOL||,NULL,NULL,NULL,message_post,4
PostThreadMessage,01|04||,04|retValueBOOL||,NULL,NULL,NULL,message_post,4
RegisterDeviceNotification,NULL,NULL,NULL,NULL,NULL,device_notify_register,4
SendMessage,01||,NULL,NULL,NULL,NULL,message_send,4
SetComputerName,00||,NULL,NULL,NULL,NULL,computername_set,4
SetComputerNameEx,01||,NULL,NULL,NULL,NULL,computername_set,4
SetCurrentDirectory,00||,NULL,NULL,NULL,NULL,currentdirectory_set,4
SetDefaultCommConfig,00||,NULL,NULL,NULL,NULL,defaultconmmconfig_set,4
SetEnvironmentVariable,00|01||,NULL,NULL,NULL,NULL,environment_variable_set,4
SetErrorMode,00||,00|errorMode||,NULL,NULL,NULL,error_mode_set,4
SetHandleInformation,00||,NULL,00|Handle||,NULL,NULL,handleinformation_set,4
SetLastError,00||,00|errorMode||,NULL,NULL,NULL,error_mode_set,4
SetLocalTime,00||,NULL,NULL,NULL,NULL,local_time_set,4
SetNamedSecurityInfo,00||,NULL,NULL,NULL,NULL,securityinfo_set,4
SetSecurityInfo,00||,NULL,00|Handle||,NULL,NULL,securityinfo_set,4
SetSystemTime,NULL,NULL,NULL,NULL,NULL,system_time_set,4
SetTimer,00||,NULL,NULL,NULL,NULL,timer_set,4
SetUnhandledExceptionFilter,NULL,NULL,NULL,NULL,NULL,exception_register,4
SetWindowsHookEx,00|04||,00|idHook||,NULL,NULL,NULL,hook_set,4
SHFormatDrive,01||,NULL,NULL,NULL,NULL,driver_format,4
